propertyid,attrition,latitude,longitude,bedrooms,bathrooms,averagedailyrateusd,rating_overall,rating_communication,rating_accuracy,rating_cleanliness,rating_checkin,rating_location,rating_value,reservationdays1,reservationdays2,reservationdays3,reservationdays4,reservationdays5,reservationdays6,reservationdays7,reservationdays8,reservationdays9,reservationdays10,reservationdays11,reservationdays12,nmon
666620,0,37.751675,-122.43185,2,2.5,487.48001,95,10,10,9,10,10,9,7.5,10.666667,12.333333,13.0,22.333334,26.0,21.333334,16.666666,13.333333,10.75,8.0,3.6666667,37
3563667,1,37.464756,-122.13657,0,1.0,209.5,98,10,10,10,10,8,10,25.0,28.5,25.5,19.5,23.0,19.0,24.0,22.333334,17.666666,27.5,22.5,25.5,27
16454328,1,37.781334,-122.46927,1,1.0,93.290001,91,9,10,9,9,10,9,27.0,28.0,31.0,29.0,28.0,26.0,26.0,26.0,24.0,21.0,7.0,5.0,12
7052936,0,37.581779,-122.35631,0,1.0,141.95,99,10,10,10,10,10,10,10.666667,13.666667,16.333334,13.5,16.0,18.5,7.0,7.5,16.666666,24.666666,13.0,10.666667,31
1546011,1,37.565834,-122.30987,1,1.5,112.44,97,10,10,10,10,9,10,0.0,3.6666667,7.75,11.333333,11.333333,15.333333,15.0,5.25,7.3333335,14.25,12.5,5.5,41
1914270,0,37.798656,-122.19968,1,1.0,72.779999,97,10,10,10,10,10,10,16.666666,15.333333,23.0,15.5,21.666666,22.666666,23.0,19.5,19.5,9.75,10.5,12.0,40
16392395,0,37.791191,-122.40649,0,1.0,251.85001,93,10,10,10,10,10,9,4.5,6.0,1.0,0.0,1.0,0.0,7.0,0.0,3.0,5.0,4.0,0.0,14
15166399,0,37.753929,-122.43683,1,1.0,189.44,98,10,10,10,10,10,10,9.0,5.0,9.5,10.0,31.0,25.0,15.0,12.0,0.0,10.5,10.0,4.5,17
11532560,1,37.790844,-122.40612,1,1.0,201.74001,100,10,10,10,10,10,10,3.0,4.0,1.0,0.0,0.0,4.0,10.0,7.0,3.0,4.0,3.0,1.0,13
686089,0,37.853951,-122.26434,1,1.0,81.730003,90,10,9,10,10,9,9,15.666667,10.75,13.0,12.0,17.666666,15.0,23.333334,24.0,12.666667,12.75,10.333333,16.333334,39
5022821,1,37.946419,-122.52862,3,1.5,245.60001,88,10,10,9,9,10,9,0.0,0.0,6.0,13.0,13.0,5.5,11.5,6.5,0.0,0.0,0.0,4.0,18
